Business_ID,Dentist_Name,Ratings
VrN8EQAEElyJXvu2jdzQ_w,"Christopher P Hayner, DMD",5.0
HoQvcXKAvoxXnG9oB5ITJw,Five Star Dentistry,5.0
cEBjQdLRwRMxjPKeAJnzyA,"Stephen M Miller, DMD",5.0
GOlGFbqmvYRaCUt5ZVIr7w,Gruendel Eans & Boles,5.0
uzHfJ29ePs1aPS60p35m6A,Esthetic Dentistry Pittsburgh,5.0
uGGoBBluJZ15ctrvAUMj-A,"Kukunas Steve J, DMD",5.0
Mf2E7xbx9qOSu-zLqu5ILw,"David J Belack, DMD",5.0
kPX8Dn1M3rC-zEewOrnNXg,Smile Direct Club,5.0
MP0lR2cpbG79_u6lpxx7xw,"Dattilo Lawrence P, DMD",5.0
egrL8AOM9TbuAp9z1NHkfQ,"Timothy Matuszak, DMD",5.0
Lzxh3hH1WQ18FMPsXpNVbw,Atlas Dental Specialists,5.0
cd-pRMlGkcPsYwBoJBfjtQ,Jason E Strcula DMD,5.0
QOm8O3LmQHB5gcs33gqSSw,"James M Eiben, DMD",5.0
kHyPe24Yl9xtx88NAMD7ww,"Joseph Certo, DMD",5.0
Zr6PJXJFlcmDAhIeg2v9Iw,"George J Hadeed, DMD",5.0
iA2AE2wwTXNG3UwYd6ISgw,"John L. Waldman, DMD - Pittsburgh Prosthodontist",5.0
FTeCO5WzNZJkRVAWXDKuBg,"Joyce K Warwick , DMD",5.0
0dZgKUc-8Hc8LQSJ80C8Cg,Polished Dental,5.0
onA8WmxUdcU5OdXwnLMHvA,"Richard M Rothrock, DMD",5.0
a3gce1KruhiRBOVERUDsfA,Joel Klimek D.M.D,5.0
XMQzB1pun4pcgrlP5wCj-w,"Michael J Cushman, DDS",5.0
DOyQWc0zPAT7Qe7E5TJX7g,King Orthodontics,5.0
u7MkgrDxjiHVR13fEZuD_A,"Richard Gottlieb, DMD",5.0
jh4cwEOsTZoDk6EMRshymg,"Daniel J. Strinkoski, DDS",4.5
G8h9GGLGAMJS-BkOBeO6Bw,AGH Dental Medicine,4.0
qGHpCDLL3DFtAytDhn80Pg,Relis Benjamin I DMD,4.0
kIN8TC2pG4mQw4Pj1RserA,The Dentistry,3.5
1A_qcD28xoNu5fEnh45YRw,"Bruno A Sciulli, DMD",3.5
kqJhY3vI-BfmAIPZNVkn4w,Koul M DDS,3.5
W0bG1plN3dgtFAZ6E2zRHQ,Murphy's Family Dentistry,3.5
HoUQ1QFIk7DM72DjuztQYA,"Ronald A Dicarlo, DMD",3.0
F24HrvjZhwgiG4qT8GLJZA,"Rebecca L Pounds, DDS",3.0
zYe1-Awhg-QTOjnD6yvL5A,Sixth Street Dental Aesthetics,3.0
ToOgephmtFvNowO-VTp04w,Southside Dental Pavillion,3.0
yKV373v-F8MKUXNsD9e89w,Warwick Dentistry,3.0
zbIQQ466itVbaCP_olO7Ww,"Kristal A Izydorczyk, DMD",3.0
PmUOjwWNzM3mCawHDcqFUA,Three Rivers Dental Group: Greentree,2.5
oWKWCJS2j0nggl-LEFoQaw,Boak W Bryan DMD,2.5
uQ1z-HBqkEiA9wZWiBV1FQ,McKees Rocks Dental,2.5
lLoXyMiXbw2_BpbdHwZovw,Excel Dental,2.5
MyiBkgjzPuQ6yzadFc6mgw,"Susan McMahon, DMD",2.5
Ej_ifHNrRlFXiviWLcpeVA,"Earl Douglas Childs, DMD",2.0
dZiDx8yr4n2Kt9t2oGEDeA,Katsur Dental & Orthodonthics,2.0
HhTTddEtwleLGGupz81yHQ,Refresh Dental South Side Works,2.0
v_pED2nMFPsBGD4Tq2ygBw,Nova Dental Associates,1.5
9TKtib6DKAOj48FDnWgkmA,Emmert Dental Associates,1.5
CtD46KWOC_5r0mkBMYLYGA,"Certo Jos S, DMD",1.0
xbsN7JIrxW6AGNw_jvaLAw,Dunn Stephen DMD,1.0
iDbhVDSUqkl_MIh3k62Eqw,Mt Oliver Dental Pavillion,1.0
amn6atLxWHufmgP4eBnE3A,"Disantis Edward J, DMD",1.0
